Date,Rot,Final,Open,Close,ML
1028,501,100,206.5,203.5,140
1028,502,101,6,3.5,-165
1028,503,84,196,191,380
1028,504,101,9.5,9,-475
1028,505,108,6.5,7,-300
1028,506,90,209,207,250
1029,701,106,192,193,315
1029,702,108,9,8,-390
1029,703,91,194,189.5,290
1029,704,103,8.5,7.5,-350
1029,705,105,1.5,194,-105
1029,706,121,191,pk,-115
1029,707,102,199.5,198.5,161
1029,708,109,5.5,4.5,-190
1029,709,95,194,188,180
1029,710,107,4.5,5,-210
1029,711,104,4,4.5,-195
1029,712,80,190,184,166
1029,713,101,198,197.5,290
1029,714,105,8.5,7.5,-350
1029,715,79,211,205.5,225
1029,716,89,7.5,6.5,-270
1029,717,104,4.5,3,-160
1029,718,93,203,202,135
1029,719,99,207,208.5,750
1029,720,119,8.5,12,-1100
1029,721,95,4,4.5,-195
1029,722,77,204.5,206,166
1029,723,89,201.5,198.5,380
1029,724,106,4.5,9,-475
1030,501,105,5,4.5,-190
1030,502,98,189,188,161
1030,503,95,199,203,825
1030,504,90,10,13,-1325
1030,505,91,205,204.5,195
1030,506,97,3.5,5.5,-230
1030,507,102,202.5,203,500
1030,508,120,9.5,10.5,-650
1030,509,90,202,205.5,800
1030,510,93,9.5,13,-1200
1031,701,97,5.5,6.5,-270
1031,702,89,186,185.5,225
1031,703,114,193.5,193,155
1031,704,108,2.5,4,-180
1031,705,81,200,204,340
1031,706,93,8,8.5,-420
1031,707,94,5.5,4.5,-190
1031,708,103,201,198.5,161
1031,709,89,1.5,pk,-115
1031,710,94,206,208.5,-105
1031,711,118,11.5,11.5,-900
1031,712,111,210,210,600
1101,501,71,188.5,186.5,135
1101,502,69,2.5,3,-160
1101,503,109,202,203.5,-105
1101,504,104,1,pk,-115
1101,505,108,7,5.5,-235
1101,506,95,196,196.5,195
1101,507,114,8.5,9,-450
1101,508,96,199.5,195.5,355
1101,509,97,197.5,197,355
1101,510,108,8.5,9,-450
1101,511,102,197.5,195.5,130
1101,512,90,3.5,3,-150
1101,513,92,193,193.5,500
1101,514,102,9.5,11,-650
1101,515,106,4.5,2,-130
1101,516,105,192,191,110
1101,517,90,205.5,208.5,290
1101,518,104,8,7.5,-350
1101,519,91,5.5,4.5,-200
1101,520,102,196,193,170
1101,521,91,2,2,-130
1101,522,118,205.5,203.5,110
1101,523,104,207,210.5,900
1101,524,127,15.5,14,-1500
1102,701,98,206.5,205,380
1102,702,92,10.5,9,-480
1102,703,102,196,197.5,110
1102,704,107,3.5,2,-130
1102,705,93,190.5,185,140
1102,706,96,2,3.5,-165
1102,707,95,203,208,140
1102,708,90,3.5,3.5,-165
1103,501,104,10,11,-850
1103,502,93,205,200.5,600
1103,503,85,193,192.5,230
1103,504,116,7,6.5,-275
1103,505,81,188.5,187,155
1103,506,93,6,4,-180
1103,507,113,208,208.5,395
1103,508,118,9,9,-515
1103,509,110,203,201.5,240
1103,510,105,8,6.5,-290
1103,511,101,206.5,203.5,430
1103,512,107,9.5,10,-550
1104,701,87,192,191.5,150
1104,702,81,3,4,-175
1104,703,88,192,192.5,600
1104,704,100,9,11.5,-900
1104,705,98,191,2,-130
1104,706,83,2,190.5,110
1104,707,108,201,205,117
1104,708,91,pk,2.5,-137
1104,709,90,188.5,189,460
1104,710,98,13,10,-600
1104,711,91,191.5,190,155
1104,712,100,3,4,-180
1104,713,82,1.5,2.5,-140
1104,714,101,200.5,209.5,120
1104,715,112,6,6,-250
1104,716,106,215,213,210
1105,501,91,1,3,-145
1105,502,89,195,196.5,125
1105,503,89,192.5,190,105
1105,504,96,2.5,1.5,-125
1105,505,110,pk,203,110
1105,506,107,204,2,-130
1105,507,98,205,208.5,180
1105,508,91,5,5,-210
1105,509,95,190,186,155
1105,510,98,4,4,-180
1105,511,94,193.5,187.5,405
1105,512,96,8.5,9,-525
1105,513,95,7,5,-210
1105,514,86,193.5,191,180
1105,515,92,203,202,315
1105,516,94,8.5,8,-385
1105,517,102,195,192.5,100
1105,518,91,1,1.5,-120
1105,519,100,6,5.5,-230
1105,520,102,202,207,195
1105,521,109,202.5,206,135
1105,522,131,2,3.5,-160
1105,523,104,208.5,211.5,178
1105,524,121,3.5,5,-208
1106,701,81,201.5,196.5,245
1106,702,98,3,6.5,-295
1106,703,87,206.5,210,110
1106,704,108,3,2,-130
1107,501,119,191,194.5,105
1107,502,122,3,1.5,-125
1107,503,103,4,4,-180
1107,504,112,200.5,203,155
1107,505,118,11.5,10,-600
1107,506,115,190.5,189,460
1107,507,98,194,191,195
1107,508,101,5.5,5.5,-230
1107,509,99,192.5,192.5,210
1107,510,110,5.5,6,-250
1107,511,95,193.5,195,176
1107,512,98,5.5,5,-205
1107,513,84,197,195,145
1107,514,103,4.5,3.5,-170
1107,515,91,7.5,7,-315
1107,516,89,185.5,181.5,260
1107,517,114,205.5,209,175
1107,518,112,4,5,-205
1107,519,105,3.5,3,-150
1107,520,82,207,205,130
1107,521,110,5,6.5,-276
1107,522,101,206,211,231
